Time;Temp Winding;Mvar;MW
21/01/2025 16.35;70,47618866;23,16843605;125,8234634
21/01/2025 16.36;70,40656281;24,1439743;125,3273087
21/01/2025 16.37;70,34345245;23,35279846;126,0368576
21/01/2025 16.38;70,29434967;23,53481865;126,2687225
21/01/2025 16.39;70,30142975;23,34594154;128,6752319
21/01/2025 16.40;70,26695251;24,09308052;128,3561249
21/01/2025 16.41;70,2596817;24,52624702;142,0161438
21/01/2025 16.42;70,39214325;23,51841927;124,3021317
21/01/2025 16.43;70,50307465;25,11051559;138,6242371
21/01/2025 16.44;70,52503204;23,59693909;131,7250366
21/01/2025 16.45;70,65782166;25,86613655;126,1061783
21/01/2025 16.46;70,67155457;25,6586647;139,1936798
21/01/2025 16.47;70,81806946;25,67544937;125,95681
21/01/2025 16.48;70,7830658;25,63901901;126,9333801
21/01/2025 16.49;70,78282928;23,95457077;124,1407471
21/01/2025 16.50;70,7408905;23,52728653;123,3621826
21/01/2025 16.51;70,67155457;22,56273651;123,8347855
21/01/2025 16.52;70,57387543;25,53399467;124,3681564
21/01/2025 16.53;70,47618866;26,29158783;124,573967
21/01/2025 16.54;70,42735291;24,1873188;129,6706085
21/01/2025 16.55;70,34369659;24,79439545;131,1297607
21/01/2025 16.56;70,41356659;25,20151329;133,7713623
21/01/2025 16.57;70,41378784;23,35227013;134,6674042
21/01/2025 16.58;70,47618866;23,85759735;134,6841125
21/01/2025 16.59;70,59495544;23,62003326;133,8224487
21/01/2025 17.00;70,68521881;21,98892784;134,1069489
21/01/2025 17.01;70,75559998;23,32228661;134,0701599
21/01/2025 17.02;70,8874054;21,16023445;134,0170288
21/01/2025 17.03;70,99940491;23,98966026;131,3688354
21/01/2025 17.04;71,02716827;22,76712418;131,6969757
21/01/2025 17.05;71,01343536;20,99910355;131,2446594
21/01/2025 17.06;71,09699249;23,32985115;131,5885162
21/01/2025 17.07;71,08345032;22,50979233;134,3119507
21/01/2025 17.08;71,07587433;25,78860474;136,6790619
21/01/2025 17.09;71,14577484;22,67547989;137,1199951
21/01/2025 17.10;71,20173645;21,16704178;136,7319031
21/01/2025 17.11;71,376297;23,30943108;136,9853973
21/01/2025 17.12;71,4529953;23,80420494;136,52742
21/01/2025 17.13;71,56416321;23,15319633;136,8620911
